Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
485,12.000,2.255,1.610,1.954,2.263,2.553,2.848,2.975,3.072,3.072,0.444
490,16.600,2.302,1.658,2.012,2.246,2.613,2.813,2.973,3.313,3.313,0.434
495,11.400,2.254,1.746,1.961,2.150,2.455,2.752,2.842,3.183,3.183,0.444
500,12.800,2.288,1.654,2.004,2.282,2.541,2.701,2.971,3.418,3.418,0.437
505,15.400,2.225,1.660,1.905,2.133,2.506,2.676,2.953,3.910,3.910,0.450
510,13.400,2.237,1.657,2.022,2.240,2.509,2.642,2.717,2.956,2.956,0.447
515,12.200,2.177,1.638,1.867,2.186,2.411,2.606,2.842,3.834,3.834,0.459
520,12.000,2.243,1.569,2.013,2.176,2.502,2.682,2.828,3.003,3.003,0.446
525,11.800,2.302,1.624,1.996,2.329,2.555,2.707,2.939,2.987,2.987,0.434
530,15.400,2.156,1.569,1.911,2.064,2.404,2.572,2.762,3.267,3.267,0.464
535,12.000,2.288,1.535,2.021,2.233,2.468,2.910,3.212,3.390,3.390,0.437
540,12.200,2.334,1.652,2.075,2.297,2.587,2.738,2.938,3.367,3.367,0.428
545,12.000,2.851,1.671,2.198,2.565,2.973,4.024,4.484,12.223,12.223,0.351
550,12.800,2.411,1.620,2.160,2.318,2.599,2.952,3.215,4.835,4.835,0.415
555,10.000,2.374,1.721,2.138,2.344,2.558,2.924,2.985,3.415,3.415,0.421
560,12.600,2.244,1.571,1.987,2.167,2.489,2.707,2.928,3.682,3.682,0.446
565,12.400,2.257,1.716,2.028,2.248,2.474,2.672,2.830,3.080,3.080,0.443
570,13.600,2.256,1.634,1.996,2.255,2.499,2.844,2.916,3.317,3.317,0.443
575,8.800,2.327,1.764,2.026,2.265,2.539,2.744,3.046,3.459,3.459,0.430
580,12.400,2.307,1.707,1.988,2.241,2.500,2.915,3.161,3.246,3.246,0.433
585,13.400,2.229,1.745,1.949,2.185,2.463,2.760,2.879,3.122,3.122,0.449
590,11.200,2.230,1.706,2.009,2.121,2.505,2.664,2.868,3.163,3.163,0.449
595,14.400,2.306,1.806,2.081,2.296,2.498,2.689,2.873,3.273,3.273,0.434
